Date, Open , High ,Low,Close
1/4/2021,19,19.1,17.15,17.25
1/5/2021,17.35,18.08,17.23,17.370001
1/6/2021,17.34,18.98,17.33,18.360001
1/7/2021,18.469999,19.450001,18.02,18.08
1/8/2021,18.18,18.299999,17.08,17.690001
1/11/2021,19.41,20.65,19.01,19.940001
1/12/2021,19.959999,20.4,19.32,19.950001
1/13/2021,20.42,38.650002,20.030001,31.4
1/14/2021,38.09,43.060001,33.049999,39.91
1/15/2021,38.490002,40.75,34.009998,35.5
1/19/2021,41.549999,45.52,36.639999,39.360001
1/20/2021,37.369999,41.189999,36.060001,39.119999
1/21/2021,39.23,44.75,37,43.029999
1/22/2021,42.59,76.760002,42.32,65.010002
1/25/2021,96.730003,159.179993,61.130001,76.790001
2/25/2021,88.559998,150,80.199997,147.979996
1/27/2021,354.829987,380,249,347.51001
1/28/2021,265,483,112.25,193.6
1/29/2021,379.709991,413.980011,250,325
